market,ticker,name,sector,exchange,date,year,window_len,raw,z,avg_daily_value,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,confirmed_fwd15d,confirmed_exc15d,confirmed_fwd21d,confirmed_exc21d,confirmed_fwd30d,confirmed_exc30d,confirmed_fwd42d,confirmed_exc42d,pre_drop_target_ret,mfe,recovered,days_to_recover,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,market_cap,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,insider_buy_n,insider_sell_n,insider_buy_val,insider_sell_val,insider_net_val,director_buy,director_sell,director_buy_val,insider_signal
US,TNDM,Tandem Diabetes Care Inc,Healthcare,US-SF,2022-11-03,2022,1,-0.2838,-6.826,59527064.0,0.1768,0.0716,-0.0906,-0.203,-0.4563,True,-0.1319,-0.2188,0.1126,0.0309,2.0,True,-0.1319,-0.2188,0.1126,0.0309,2.0,0.0409,0.0013,0.1022,0.0688,0.0826,0.0787,0.1759,0.1535,0.3962,0.2646,False,,0.1768,63.0,0.1768,63.0,0.1768,63.0,0.1768,63.0,0.1768,63.0,0.1768,63.0,0.1768,63.0,0.1768,63.0,0.1126,0.0309,0.0409,0.0013,0.1022,0.0688,0.0826,0.0787,0.1759,0.1535,-1.0,True,0.0359,0.6499,2519814603.0,0.0062,-0.0351,0.0221,0.125,0.5285,,,10,3,510974.83,1656412.42,-1145437.59,True,True,510974.83,sell
US,UCTT,Ultra Clean Holdings Inc,Technology,US-SF,2025-02-26,2025,2,-0.2654,-6.388,14364449.0,-0.2348,-0.2235,-0.0944,-0.1826,-0.082,True,-0.0181,-0.1341,-0.1338,-0.167,4.0,True,-0.0148,-0.1277,-0.1324,-0.1543,5.0,-0.0268,-0.0045,-0.2285,-0.1521,-0.2256,-0.1285,-0.1959,-0.163,0.3613,-0.0193,False,,-0.2348,63.0,-0.2348,63.0,-0.0578,1.0,-0.1189,3.0,-0.1189,3.0,-0.1325,9.0,-0.2937,26.0,-0.3099,27.0,-0.1324,-0.1543,-0.0268,-0.0045,-0.2285,-0.1521,-0.2256,-0.1285,-0.1959,-0.163,-1.0,True,0.0271,0.5638,1187503044.0,0.02,-0.0225,0.0113,0.0007,0.1449,-0.2738,,5,1,943325.0,130720.4,812604.6,True,True,943325.0,buy
US,VC,Visteon Corp,Consumer Cyclical,US-SF,2019-04-25,2019,1,-0.2354,-8.269,44050375.0,0.1459,0.1194,0.3769,0.3501,0.039,True,0.4271,0.4032,0.0472,0.0179,1.0,True,0.4546,0.4276,0.0444,0.018,2.0,-0.2478,-0.2129,-0.2587,-0.2043,-0.218,-0.1986,-0.1205,-0.1143,0.308,0.3951,False,,0.1459,63.0,0.1459,63.0,-0.0792,12.0,-0.0904,14.0,-0.1411,15.0,-0.1411,15.0,-0.2697,25.0,0.1459,63.0,0.0444,0.018,-0.2478,-0.2129,-0.2587,-0.2043,-0.218,-0.1986,-0.1205,-0.1143,-1.0,True,0.3527,0.871,1607396491.0,0.102,0.059,0.055,0.0258,-0.167,-0.1638,0.0,8,0,916227.0,0.0,916227.0,True,False,916227.0,buy
US,VIR,Vir Biotechnology Inc,Healthcare,US-SF,2023-07-20,2023,1,-0.449,-20.919,23102162.0,-0.3402,-0.2916,-0.2528,-0.32,-0.1209,True,-0.331,-0.4002,-0.4286,-0.3716,1.0,False,,,,,,,,,,,,,,0.815,0.1299,False,,-0.3402,63.0,-0.3402,63.0,-0.0898,34.0,-0.0898,34.0,-0.1339,35.0,-0.1339,35.0,-0.2622,43.0,-0.3031,55.0,,,,,,,,,,,,True,0.2482,0.0,2141880070.0,0.2408,0.2023,0.3192,0.9873,5.4127,-0.0188,,1,93,56825.0,80888412.03,-80831587.03,True,True,56825.0,sell
US,VLY,Valley National Bancorp,Financial Services,US-SF,2020-03-09,2020,5,-0.2284,-7.396,19449808.0,0.2988,0.122,0.0772,-0.1706,-0.0524,True,-0.0265,-0.1825,0.1909,0.0781,1.0,True,-0.0496,-0.282,0.0416,-0.0803,4.0,-0.1926,-0.1105,-0.027,-0.0768,-0.0295,-0.0913,-0.1309,-0.1711,0.296,0.2988,True,63.0,0.296,63.0,0.1635,65.0,-0.061,5.0,-0.0976,7.0,-0.1382,10.0,-0.1382,10.0,0.2988,63.0,0.2988,63.0,0.104,-0.0728,-0.1926,-0.1105,-0.027,-0.0768,-0.0295,-0.0913,-0.1309,-0.1711,59.0,True,0.078,1.0272,3112556512.0,0.084,0.041,0.2021,0.235,0.1167,0.0351,0.0783,1,4,225000.0,1283801.4,-1058801.4,True,True,225000.0,sell
US,VLY,Valley National Bancorp,Financial Services,US-SF,2023-05-04,2023,4,-0.2388,-5.295,42412167.0,0.4301,0.3275,0.1862,0.123,-0.1761,True,0.1562,0.1025,0.3635,0.2711,1.0,True,0.1562,0.1025,0.3635,0.2711,1.0,0.0053,-0.0115,0.1211,0.0854,0.0876,0.0266,0.0277,-0.0359,0.3137,0.4613,True,51.0,0.3137,51.0,0.318,70.0,-0.0672,5.0,0.4301,63.0,0.4301,63.0,0.4301,63.0,0.4301,63.0,0.4301,63.0,0.2383,0.1653,0.0053,-0.0115,0.1211,0.0854,0.0876,0.0266,0.0277,-0.0359,50.0,True,0.0889,0.2716,3397047613.0,0.1675,0.1339,0.2606,0.6544,0.1821,0.1285,0.0718,19,1,2646531.09,71400.0,2575131.09,True,True,2646531.09,buy
US,WAFD,"WaFd, Inc.",Financial Services,US-SF,2020-03-23,2020,2,-0.2294,-5.241,11970848.0,0.2127,-0.1808,-0.0186,-0.485,-0.2437,True,-0.1158,-0.4706,0.1121,-0.1674,1.0,False,,,,,,,,,,,,,,0.2976,0.3901,True,52.0,0.2976,52.0,0.1773,56.0,0.2127,63.0,0.2127,63.0,0.2127,63.0,0.2127,63.0,0.2127,63.0,0.2127,63.0,,,,,,,,,,,,True,0.1034,1.574,1304425184.0,0.1612,0.1182,0.2862,0.2702,0.0552,0.1088,0.0476,3,0,461404.0,0.0,461404.0,True,False,461404.0,buy
US,WGS,GeneDx Holdings Corp.,Healthcare,US-SF,2026-05-05,2026,1,-0.492,-10.824,65349938.0,,,,,-0.4834,True,,,,,1.0,True,,,,,2.0,0.2837,0.2506,0.279,0.2697,0.3684,0.3499,0.7133,0.6852,0.9684,1.0779,True,35.0,0.9684,35.0,0.8957,42.0,0.8366,54.0,0.8366,54.0,0.8366,54.0,0.8366,54.0,0.8366,54.0,0.8366,54.0,0.6153,0.5926,0.2837,0.2506,0.279,0.2697,0.3684,0.3499,0.6153,0.5926,33.0,False,-0.0682,0.1711,1024533812.0,-0.0205,-0.0647,-0.0492,0.0334,0.1898,,,10,83,13460089.63,18475786.88,-5015697.25,True,True,13460089.63,sell
US,WKHS,Workhorse Group Inc,Consumer Cyclical,US-SF,2022-08-09,2022,1,-0.2416,-3.887,16251018.0,-0.1858,-0.1093,-0.3805,-0.3794,0.4057,True,-0.4857,-0.4551,-0.2753,-0.1846,1.0,True,-0.4885,-0.4608,-0.3206,-0.2116,2.0,-0.201,-0.1439,-0.1959,-0.1729,-0.3232,-0.201,-0.3893,-0.2423,0.3186,0.2832,False,,-0.1858,63.0,-0.1858,63.0,-0.0501,9.0,-0.118,18.0,-0.118,18.0,-0.1327,19.0,-0.2714,42.0,-0.3186,43.0,-0.3206,-0.2116,-0.201,-0.1439,-0.1959,-0.1729,-0.3232,-0.201,-0.3893,-0.2423,-1.0,False,-2.2974,0.1414,110785878000.0,-0.0036,-0.0316,471.1051,161.8591,-0.3174,,,6,0,363718.0,0.0,363718.0,True,False,363718.0,buy
US,XRAY,Dentsply Sirona Inc,Healthcare,US-SF,2024-11-07,2024,1,-0.2802,-13.367,66948966.0,0.068,0.052,-0.0201,-0.0056,-0.127,True,-0.0616,-0.0444,0.0372,0.0278,1.0,False,,,,,,,,,,,,,,0.3893,0.1866,False,,0.068,63.0,0.068,63.0,0.068,63.0,0.068,63.0,0.068,63.0,0.068,63.0,0.068,63.0,0.068,63.0,,,,,,,,,,,,False,-0.0401,0.6432,3269010944.0,-0.0404,-0.0838,-0.0333,0.0575,-0.0011,0.2794,0.038,2,0,299939.35,0.0,299939.35,True,False,299939.35,buy
