market,ticker,name,sector,exchange,date,year,window_len,raw,z,fwd_3m,excess_3m,fwd_6m,excess_6m,momentum_6m,up1_conf,up1_fwd6m,up1_exc6m,up1_fwd3m,up1_exc3m,up1_days,confirmed_conf,confirmed_fwd6m,confirmed_exc6m,confirmed_fwd3m,confirmed_exc3m,confirmed_days,pre_drop_target_ret,mfe,recovered,r_target,hold_target,r_trail,hold_trail,r_sl5,hold_sl5,r_sl8,hold_sl8,r_sl10,hold_sl10,r_sl12,hold_sl12,r_sl25,hold_sl25,r_sl30,hold_sl30,ce_trail,ce_trail_exc,ce_te15,ce_te15_exc,ce_te21,ce_te21_exc,ce_te30,ce_te30_exc,ce_te42,ce_te42_exc,ce_rec_days,profitable,roe,de,earnings_yield,ey_minus_bond,npat_margin,fcf_margin,rev_growth,eps_growth,div_yield,days_to_recover
TSX,HNL,Dexterra Group Inc,Industrials,TSX-SF,2018-11-20,2018,2,-0.1213,-3.045,-0.1579,-0.2342,-0.0783,-0.1771,-0.1503,True,-0.0579,-0.1375,-0.1573,-0.2211,1.0,True,-0.0201,-0.0827,-0.1674,-0.2186,9.0,0.138,0.0127,False,-0.1579,63,-0.1579,63,-0.0539,7,-0.0909,11,-0.1212,12,-0.1212,12,-0.2508,18,-0.1579,63,-0.1674,-0.2186,-0.2517,-0.1791,-0.2514,-0.2075,-0.1639,-0.1691,-0.045,-0.0736,-1.0,False,-0.0257,0.4839,-0.0004,-0.0434,-0.0242,0.0936,-0.1256,,0.0014,
TSX,HNL,Dexterra Group Inc,Industrials,TSX-SF,2019-08-01,2019,1,-0.1246,-4.871,-0.0587,-0.0663,-0.1175,-0.1787,0.1737,True,-0.0577,-0.1432,0.0221,-0.0035,4.0,False,,,,,,0.1423,0.0225,False,-0.0587,63,-0.0587,63,-0.0792,2,-0.0812,3,-0.1102,7,-0.0587,63,-0.0587,63,-0.0587,63,,,,,,,,,,,,False,-0.0243,0.0917,-0.0005,-0.0435,-0.0208,0.1817,-0.0659,,0.0016,
TSX,HSE,Husky Energy Inc,Energy,TSX-SF,2015-10-30,2015,1,-0.1283,-6.967,-0.2258,-0.1626,-0.1263,-0.1511,-0.2354,True,-0.1565,-0.1627,-0.2753,-0.1886,1.0,True,-0.1608,-0.1551,-0.2635,-0.182,2.0,0.1471,0.0956,False,-0.2258,63,-0.2258,63,-0.0532,25,-0.0998,26,-0.1044,27,-0.1309,28,-0.2649,49,-0.2258,63,-0.2635,-0.182,-0.0043,0.0178,-0.0679,-0.0499,-0.201,-0.1434,-0.201,-0.1434,-1.0,True,0.0628,0.2194,0.0808,0.0378,0.0522,0.4403,0.0332,,0.0775,
TSX,HSE,Husky Energy Inc,Energy,TSX-SF,2016-04-26,2016,2,-0.1174,-2.791,-0.0207,-0.0743,-0.0421,-0.1143,-0.1721,True,-0.0707,-0.1354,0.0635,0.0048,5.0,True,-0.0651,-0.1208,0.1042,0.0346,12.0,0.1331,0.0684,False,-0.0207,63,-0.0207,63,-0.0716,9,-0.0935,17,-0.0207,63,-0.0207,63,-0.0207,63,-0.0207,63,0.1042,0.0346,0.0156,-0.0162,0.0007,-0.0143,-0.0176,-0.0251,0.002,-0.0493,-1.0,False,-0.2321,0.3639,-0.2698,-0.3128,-0.2352,0.4133,-0.1621,,0.0634,
TSX,HSE,Husky Energy Inc,Energy,TSX-SF,2018-11-23,2018,5,-0.1125,-2.997,-0.0379,-0.1083,-0.1742,-0.2599,-0.0837,True,-0.1791,-0.2536,-0.0634,-0.1341,1.0,True,-0.2073,-0.271,-0.1219,-0.1804,5.0,0.1267,0.1367,True,0.1267,36,0.0344,40,-0.0541,18,-0.1101,20,-0.1101,20,-0.1284,21,-0.0379,63,-0.0379,63,-0.0377,-0.0384,-0.1721,-0.0891,-0.1262,-0.0613,-0.0589,-0.0532,-0.0377,-0.0384,31.0,True,0.0438,0.303,0.0559,0.0129,0.0423,0.3188,-0.0552,4.427,0.0286,36.0
TSX,HSE,Husky Energy Inc,Energy,TSX-SF,2019-07-18,2019,5,-0.1049,-3.111,-0.1959,-0.1888,-0.1152,-0.1821,-0.1399,True,-0.1753,-0.2407,-0.1633,-0.1556,2.0,True,-0.1773,-0.2347,-0.2106,-0.196,4.0,0.1172,0.0062,False,-0.1959,63,-0.1959,63,-0.0555,5,-0.0828,6,-0.1198,7,-0.1374,10,-0.1959,63,-0.1959,63,-0.2106,-0.196,-0.2434,-0.2074,-0.2137,-0.1791,-0.1982,-0.1936,-0.1476,-0.1588,-1.0,True,0.0743,0.2932,0.1375,0.0945,0.0655,0.3466,-0.0093,4.0848,0.0474,
TSX,HSE,Husky Energy Inc,Energy,TSX-SF,2020-02-27,2020,5,-0.1899,-4.005,-0.3529,-0.2659,-0.3018,-0.3026,-0.0754,True,-0.2856,-0.2833,-0.3426,-0.263,2.0,True,0.2431,-0.0879,0.6959,0.424,15.0,0.2344,-0.0415,False,-0.3529,63,-0.3529,63,-0.0519,1,-0.0964,3,-0.1454,5,-0.1454,5,-0.2522,6,-0.4807,7,0.6959,0.424,0.7133,0.5492,0.319,0.1367,0.5018,0.3005,0.5448,0.3125,-1.0,False,-0.0793,0.3194,-0.2121,-0.2551,-0.0686,0.3204,-0.0367,4.0848,0.0778,
TSX,HSM,Helius Medical Technologies Inc,Healthcare,TSX-SF,2016-11-07,2016,1,-0.1082,-2.877,0.2543,0.1966,0.0405,-0.0221,0.3379,True,0.0286,-0.038,0.2571,0.1959,1.0,False,,,,,,0.1214,0.4451,True,0.1214,16,0.1965,28,0.2543,63,0.2543,63,0.2543,63,0.2543,63,0.2543,63,0.2543,63,,,,,,,,,,,,False,425.0656,-106.5942,-0.0098,-0.0528,,,,,,16.0
TSX,HSM,Helius Medical Technologies Inc,Healthcare,TSX-SF,2017-10-12,2017,1,-0.1245,-3.292,-0.3463,-0.3863,-0.5541,-0.5261,1.4175,True,-0.4737,-0.4526,-0.2707,-0.3045,4.0,False,,,,,,0.1422,0.0963,False,-0.3463,63,-0.3463,63,-0.0573,2,-0.0894,3,-0.2041,19,-0.2041,19,-0.3005,20,-0.3005,20,,,,,,,,,,,,False,3.4956,-1.299,-0.0068,-0.0498,,,,,,
TSX,HSM,Helius Medical Technologies Inc,Healthcare,TSX-SF,2017-11-13,2017,3,-0.4043,-5.537,-0.05,0.0005,0.0107,0.0063,1.5824,True,-0.0142,-0.0309,0.0355,0.0651,2.0,False,,,,,,0.6786,0.1393,False,-0.05,63,-0.05,63,-0.0679,35,-0.0929,53,-0.1157,56,-0.1943,57,-0.2586,59,-0.05,63,,,,,,,,,,,,False,3.4956,-1.299,-0.0106,-0.0536,,,,,,
TSX,HSM,Helius Medical Technologies Inc,Healthcare,TSX-SF,2018-04-06,2018,3,-0.2016,-2.834,0.2111,0.1345,0.1121,0.0635,-0.2894,True,0.0948,0.0781,0.2784,0.1941,2.0,True,0.0948,0.0781,0.2784,0.1941,2.0,0.2525,0.7364,True,0.2525,22,0.3131,36,0.2111,63,0.2111,63,0.2111,63,0.2111,63,0.2111,63,0.2111,63,0.2974,0.2541,0.019,-0.0044,0.2974,0.2541,0.2974,0.2541,0.2974,0.2541,20.0,False,3.7415,-1.2788,-0.0349,-0.0779,,,,,,22.0
TSX,HSM,Helius Medical Technologies Inc,Healthcare,TSX-SF,2018-06-25,2018,1,-0.1461,-3.105,-0.0568,-0.0553,-0.0605,0.088,0.1694,True,-0.0854,0.0445,-0.052,-0.0452,1.0,False,,,,,,0.1712,0.0493,False,-0.0568,63,-0.0568,63,-0.0665,4,-0.1039,8,-0.1039,8,-0.1375,18,-0.0568,63,-0.0568,63,,,,,,,,,,,,False,3.7415,-1.2788,-0.0258,-0.0688,,,,,,
TSX,HSM,Helius Medical Technologies Inc,Healthcare,TSX-SF,2018-11-15,2018,1,-0.1297,-3.882,-0.0491,-0.0948,-0.7123,-0.7953,-0.1392,True,-0.7021,-0.7859,-0.0695,-0.1211,1.0,False,,,,,,0.1491,0.283,True,0.1491,16,0.1481,23,-0.0708,46,-0.1113,48,-0.1113,48,-0.0491,63,-0.0491,63,-0.0491,63,,,,,,,,,,,,False,3.7415,-1.2788,-0.0326,-0.0756,,,,,,16.0
TSX,HSM,Helius Medical Technologies Inc,Healthcare,TSX-SF,2019-04-16,2019,5,-0.5865,-8.784,-0.1691,-0.168,-0.3868,-0.3792,-0.2264,True,-0.4487,-0.4411,-0.2231,-0.2201,1.0,True,-0.4487,-0.4411,-0.2231,-0.2201,1.0,1.4183,0.2034,False,-0.1691,63,-0.1691,63,-0.0602,5,-0.1032,6,-0.1032,6,-0.1261,15,-0.1691,63,-0.1691,63,-0.2231,-0.2201,-0.2179,-0.2045,-0.2179,-0.2093,-0.0974,-0.0668,0.0,0.0025,-1.0,False,-2.9047,0.0,-0.1011,-0.1441,-59.8808,-41.9686,,,,
TSX,HSM,Helius Medical Technologies Inc,Healthcare,TSX-SF,2019-10-10,2019,2,-0.1458,-2.567,-0.4146,-0.4677,-0.8,-0.6744,-0.7219,True,-0.7817,-0.6307,-0.3474,-0.4081,2.0,False,,,,,,0.1707,0.0878,False,-0.4146,63,-0.4146,63,-0.0976,11,-0.0976,11,-0.1073,15,-0.1561,16,-0.3902,19,-0.3902,19,,,,,,,,,,,,False,-2.9047,0.0,-0.1721,-0.2151,-59.8808,-41.9686,,,,
TSX,IMX,Imax Corp,,TSX-SF,2011-06-10,2011,2,-0.1086,-3.05,-0.4571,-0.4038,-0.3213,-0.2347,0.3005,True,-0.3157,-0.2249,-0.4441,-0.376,2.0,True,-0.3157,-0.2249,-0.4441,-0.376,2.0,0.1218,0.0248,False,-0.4571,63,-0.4571,63,-0.0503,5,-0.0888,18,-0.1068,19,-0.1381,20,-0.3657,33,-0.3657,33,-0.4441,-0.376,-0.0784,-0.1018,-0.128,-0.1399,-0.2489,-0.244,-0.4428,-0.4004,-1.0,,,,,,,,,,,
TSX,IMX,Imax Corp,,TSX-SF,2011-07-25,2011,1,-0.1292,-4.503,-0.2814,-0.1707,-0.0886,-0.0111,0.0273,True,-0.1056,-0.0483,-0.2659,-0.1803,1.0,True,0.3289,0.2949,0.205,0.1759,11.0,0.1483,0.0072,False,-0.2814,63,-0.2814,63,-0.1767,3,-0.1767,3,-0.1767,3,-0.1767,3,-0.2873,6,-0.3165,9,0.205,0.1759,0.0207,-0.0226,0.0915,0.0441,0.0323,0.0451,0.0037,0.0467,-1.0,,,,,,,,,,,
